AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento|DESCRIZIONE_SINTETICA_CUP|ANNO_DECISIONE|STATO_PROGETTO|COSTO_PROGETTO|FINANZIAMENTO_PROGETTO|CODICE_STATO|STATO|CODICE_AREA_GEOGRAFICA|AREA_GEOGRAFICA|CODICE_REGIONE|CODICE_PROVINCIA|SIGLA_PROVINCIA|CODICE_COMUNE|PIVA_CODFISCALE_SOG_TITOLARE|SOGGETTO_TITOLARE|INDIRIZZO_SOG_TITOLARE|TIPO_INDIRIZZO_SOG_TITOLARE|NUM_CIVICO_SOG_TITOLARE|LOCALITA_SOG_TITOLARE|CAP_SOGGETTO_TITOLARE|COMUNE_SOGGETTO_TITOLARE|CODICE_COMUNE_SOGG_TITOLARE|CODICE_SOTTOCATEG_SOGGETTO|SOTTOCATEGORIA_SOGGETTO|CODICE_CATEGORIA_SOGGETTO|CATEGORIA_SOGGETTO|CODICE_AREA_SOGGETTO|AREA_SOGGETTO|CODICE_NATURA_INTERVENTO|NATURA_INTERVENTO|CODICE_TIPO_INTERVENTO|TIPOLOGIA_INTERVENTO|CODICE_AREA_INTERVENTO|AREA_INTERVENTO|CODICE_SETTORE_INTERVENTO|SETTORE_INTERVENTO|CODICE_SOTTOSETTORE_INTERVENTO|SOTTOSETTORE_INTERVENTO|CODICE_CATEGORIA_INTERVENTO|CATEGORIA_INTERVENTO|SOGGETTO_RICHIEDENTE|TIPOLOGIA_CUP|DESCRIZIONE_INTERVENTO|STRUTTURA_INFRASTRUTTURA|INDIRIZZO_INTERVENTO|NUMERO_DELIBERA_CIPE|ANNO_DELIBERA|FLAG_LEGGE_OBIETTIVO|FINANZA_PROGETTO|FLAG_TIPO_GENERICO|CUP_IN_RELAZIONE|RUOLO_IN_RELAZIONE|DESC_TIPO_RELAZIONE|DATA_ULTIMA_MODIFICA_SSC|DATA_ULTIMA_MODIFICA_UTENTE|DATA_CHIUSURA_REVOCA|CODICE_LOCALE_PROGETTO|CODICE_STRUMENTO_PROGRAM|STRUMENTO_PROGRAMMAZIONE|CODICE_COPERTURA_FINANZIARIA|COPERTURA_FINANZIARIA|SPONSORIZZAZIONI|ALTRE_INFORMAZIONI|DATA_GENERAZIONE_CUP|CONTROLLO_QUALITA|CUP_MASTER|RAGIONI_COLLEGAMENTO|LINK_OPENCOESIONE|LINK_SCUOLE_SICURE
NORD OVEST|CNIC83100E|CNEE83107V|POLONGHERA - CAPOLUOGO|POLONGHERA|SCUOLA PRIMARIA|VIA FOSSATI 8|CUNEO|PIEMONTE|0041710001|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|2.0|1.500,00|1.018,00|1.720,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Faule|Amministrazione Comunale|2017-12-15|2018-03-26|2018-12-31|COMUNE di Faule|COMUNE|CNIC83100E|||44.803202|7.596064|Nuova edificazione|In approvazione|G27E17000000006|1250564.0|262697.4|NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE*VIA PADRE ROLFO GIOVANNI BATTISTA*NUOVA SCUOLA ELEMENTARE|2017|ATTIVO|1250564|1250564|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4087.0|85000970047|COMUNE DI POLONGHERA - CUNEO -|P.ZZA VITTORIO VENETO||1|POLONGHERA|12030|POLONGHERA|4171.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|1.0|NUOVA REALIZZAZIONE|4.0|RICERCA, ITC, AREE PRODUTTIVE E ALTRO|11.0|ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO|70.0|SCUOLA E ISTRUZIONE|1.0|FORMAZIONE E ISTRUZIONE ALL'INTERNO DELL'OBBLIGO SCOLASTICO|COMUNE DI POLONGHERA - CUNEO -|NORMALE|NUOVA SCUOLA ELEMENTARE|NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE|VIA PADRE ROLFO GIOVANNI BATTISTA|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||99.0|ALTRO|2.0|REGIONALE|NON PREVISTE||20-FEB-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=106267
NORD OVEST|CNIC83100E|CNEE83107V|POLONGHERA - CAPOLUOGO|POLONGHERA|SCUOLA PRIMARIA|VIA FOSSATI 8|CUNEO|PIEMONTE|0041710001|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|2.0|1.500,00|1.018,00|1.720,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Faule|Amministrazione Comunale|2017-12-15|2018-03-26|2018-12-31|COMUNE di Faule|COMUNE|CNIC83100E|||44.803202|7.596064|Nuova edificazione|In approvazione|G27E17000000006|1250564.0|262697.4|NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE*VIA PADRE ROLFO GIOVANNI BATTISTA*NUOVA SCUOLA ELEMENTARE|2017|ATTIVO|1250564|1250564|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4087.0|85000970047|COMUNE DI POLONGHERA - CUNEO -|P.ZZA VITTORIO VENETO||1|POLONGHERA|12030|POLONGHERA|4171.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|1.0|NUOVA REALIZZAZIONE|4.0|RICERCA, ITC, AREE PRODUTTIVE E ALTRO|11.0|ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO|70.0|SCUOLA E ISTRUZIONE|1.0|FORMAZIONE E ISTRUZIONE ALL'INTERNO DELL'OBBLIGO SCOLASTICO|COMUNE DI POLONGHERA - CUNEO -|NORMALE|NUOVA SCUOLA ELEMENTARE|NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE|VIA PADRE ROLFO GIOVANNI BATTISTA|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||99.0|ALTRO|4.0|COMUNALE|NON PREVISTE||20-FEB-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=106267
NORD OVEST|CNIC83100E|CNEE83107V|POLONGHERA - CAPOLUOGO|POLONGHERA|SCUOLA PRIMARIA|VIA FOSSATI 8|CUNEO|PIEMONTE|0041710001|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|2.0|1.500,00|1.018,00|1.720,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Faule|Amministrazione Comunale|2017-12-15|2018-03-26|2018-12-31|COMUNE di Faule|COMUNE|CNIC83100E|||44.803202|7.596064|Nuova edificazione|In approvazione|G27E17000000006|1250564.0|262697.4|NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE*VIA PADRE ROLFO GIOVANNI BATTISTA*NUOVA SCUOLA ELEMENTARE|2017|ATTIVO|1250564|1250564|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4087.0|85000970047|COMUNE DI POLONGHERA - CUNEO -|P.ZZA VITTORIO VENETO||1|POLONGHERA|12030|POLONGHERA|4171|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|1.0|NUOVA REALIZZAZIONE|4.0|RICERCA, ITC, AREE PRODUTTIVE E ALTRO|11.0|ISTRUZIONE, FORMAZIONE E SOSTEGNI PER IL MERCATO DEL LAVORO|70.0|SCUOLA E ISTRUZIONE|1.0|FORMAZIONE E ISTRUZIONE ALL'INTERNO DELL'OBBLIGO SCOLASTICO|COMUNE DI POLONGHERA - CUNEO -|NORMALE|NUOVA SCUOLA ELEMENTARE|NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE NUOVA SCUOLA ELEMENTARE INTERCOMUNALE POLONGHERA - FAULE|VIA PADRE ROLFO GIOVANNI BATTISTA|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||99|ALTRO|002|REGIONALE|NON PREVISTE||20-FEB-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=106251
NORD OVEST|CNIC83100E|CNEE83107V|POLONGHERA - CAPOLUOGO|POLONGHERA|SCUOLA PRIMARIA|VIA FOSSATI 8|CUNEO|PIEMONTE|0041710001|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|2.0|1.500,00|1.018,00|1.720,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Polonghera|Amministrazione comunale|2017-12-15|2017-10-10|2017-12-31|Polonghera|COMUNE||||44.803225|7.596063000000001|Efficientamento energeticoRistrutturazione|Cantiere aperto|G52F17000020004|179000.0|179000.0|OPERE DI RESTAURO CONSERVATIVO ALLA COPERTURA E RIQUALIFICAZIONE ENERGETICA DELLA SCUOLA PRIMARIA E DEL PALAZZO COMUNALE*PIAZZA VITTORIO VENETO*OPERE DI RESTAURO CONSERVATIVO ALLA COPERTURA E RIQUALIFICAZIONE ENERGETICA DELLA SCUOLA PRIMARIA E DEL PALAZZO COMUNALE|2017|ATTIVO|179000|179000|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4171.0|85000970047|COMUNE DI POLONGHERA - CUNEO -|P.ZZA VITTORIO VENETO||1|POLONGHERA|12030|POLONGHERA|4171|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|5.0|RESTAURO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI POLONGHERA - CUNEO -|MASTER|OPERE DI RESTAURO CONSERVATIVO ALLA COPERTURA E RIQUALIFICAZIONE ENERGETICA DELLA SCUOLA PRIMARIA E DEL PALAZZO COMUNALE|OPERE DI RESTAURO CONSERVATIVO ALLA COPERTURA E RIQUALIFICAZIONE ENERGETICA DELLA SCUOLA PRIMARIA E DEL PALAZZO COMUNALE|PIAZZA VITTORIO VENETO|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||28-NOV-17||||0|ASSENTE|4|COMUNALE|NON PREVISTE||18-MAY-17|Il corredo informativo del CUP non è stato visionato||RESTAURO PALAZZO COMUNALE||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=
NORD OVEST|CNIC83100E|CNEE83108X|TORRE SAN GIORGIO - CAPOL.|TORRE SAN GIORGIO|SCUOLA PRIMARIA|VIA MAESTRA ADOLFO SARTI, 23|CUNEO|PIEMONTE|0042280001|CN|Attivo|NO|NO|SI|Non Comunicato|NO|SI|NO|1955|Informazione assente|-|Informazione assente|2.0|539,00|148,00|2.737,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE80601X|BASTIA MONDOVI'|BASTIA MONDOVI'|SCUOLA PRIMARIA|VIA DELLE SCUOLE 1|CUNEO|PIEMONTE|0040140001|CN|Attivo|NO|NO|SI|Non classificato a rischio|-|NO|SI|-|tra il 1946 e il 1960|-|tra il 1946 e il 1975|3.0|1.098,00|517,00|3.719,00|Non Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806021|CARRU'|CARRU'|SCUOLA PRIMARIA|VIA PIPPO VACCHETTI 21|CUNEO|PIEMONTE|0040430002|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1955|Informazione assente|-|Informazione assente|3.0|7.675,00|3.790,00|8.772,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806032|CLAVESANA|CLAVESANA|SCUOLA PRIMARIA|VIALE MARTIRI LIBERTA', 43 B|CUNEO|PIEMONTE|0040710003|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1962|Informazione assente|-|Informazione assente|3.0|500,00|275,00|960,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806043|ROCCA DE' BALDI - FRAZ. CRAVA|ROCCA DE' BALDI|SCUOLA PRIMARIA|VIA PEIRONE, 53 A|CUNEO|PIEMONTE|0041890001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|1992|Informazione assente|2.0|-|-|780,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806043|ROCCA DE' BALDI - FRAZ. CRAVA|ROCCA DE' BALDI|SCUOLA PRIMARIA|VIA PEIRONE, 53 A|CUNEO|PIEMONTE|0041890002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|2.0|2.600,00|1.956,00|3.864,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|2.0|10.105,00|7.270,00|6.835,00|Esiste|Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Magliano Alpi|MIUR|2017-09-14|2016-07-04|2016-12-29|MAGLIANO ALPI|COMUNE|CNIC80600T|||44.459559999999996|7.801121000000001|Efficientamento energetico|Cantiere aperto|I21E15000200005|800000.0|796000.0|EDIFICIO SCOLASTICO*VIA LANGHE 111 D*MIGLIORAMENTO SISMICO E RIQUALIFICAZIONE ENERGETICA MEDIANTE REALIZZAZIONE DI CAPPOTTO, SOSTITUZIONE SERRAMENTI, IMPIANTO DI VENTILAZIONE MECCANICA CONTROLLATA |2015|ATTIVO|800000|800000|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4114.0|00454320045|COMUNE DI MAGLIANO ALPI - CN -|LANGHE|VIA|91|MAGLIANO ALPI|12060|MAGLIANO ALPI|4114.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|9.0|MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|86.0|ALTRI EDIFICI SCOLASTICI|COMUNE DI MAGLIANO ALPI - CN -|NORMALE|MIGLIORAMENTO SISMICO E RIQUALIFICAZIONE ENERGETICA MEDIANTE REALIZZAZIONE DI CAPPOTTO, SOSTITUZIONE SERRAMENTI, IMPIANTO DI VENTILAZIONE MECCANICA CONTROLLATA |EDIFICIO SCOLASTICO|VIA LANGHE 111 D|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||30-NOV-17||||99.0|ALTRO|4.0|COMUNALE|NON PREVISTE||29-JUN-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98252
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|2.0|10.105,00|7.270,00|6.835,00|Esiste|Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Magliano Alpi|MIUR|2017-09-14|2016-07-04|2016-12-29|MAGLIANO ALPI|COMUNE|CNIC80600T|||44.459559999999996|7.801121000000001|Efficientamento energetico|Cantiere aperto|I21E15000200005|800000.0|796000.0|EDIFICIO SCOLASTICO*VIA LANGHE 111 D*MIGLIORAMENTO SISMICO E RIQUALIFICAZIONE ENERGETICA MEDIANTE REALIZZAZIONE DI CAPPOTTO, SOSTITUZIONE SERRAMENTI, IMPIANTO DI VENTILAZIONE MECCANICA CONTROLLATA |2015|ATTIVO|800000|800000|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4114.0|00454320045|COMUNE DI MAGLIANO ALPI - CN -|LANGHE|VIA|91|MAGLIANO ALPI|12060|MAGLIANO ALPI|4114|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|9.0|MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|86.0|ALTRI EDIFICI SCOLASTICI|COMUNE DI MAGLIANO ALPI - CN -|NORMALE|MIGLIORAMENTO SISMICO E RIQUALIFICAZIONE ENERGETICA MEDIANTE REALIZZAZIONE DI CAPPOTTO, SOSTITUZIONE SERRAMENTI, IMPIANTO DI VENTILAZIONE MECCANICA CONTROLLATA |EDIFICIO SCOLASTICO|VIA LANGHE 111 D|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||30-NOV-17||||99|ALTRO|1|STATALE|NON PREVISTE||29-JUN-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98252
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|2.0|10.105,00|7.270,00|6.835,00|Esiste|Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Magliano Alpi|Amministrazione comunale|2017-11-28|2016-07-04|2016-09-04|COMUNE di Magliano Alpi|COMUNE||||44.465676|7.822911|Adeguamento impiantistica e/o antincendio|Concluso|I24H15000420002|68000.0|14211.63|MESSA A NORMA E IN SICUREZZA EDIFICIO SCOLASTICO*VIA LANGHE 111/D*MESSA A NORMA IMPIANTO ELETTRICO, REALIZZAZIONE IMPIANTO ANTINCENDIO EDIFICIO SCOLASTICO|2015|ATTIVO|68000|32000|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4114.0|00454320045|COMUNE DI MAGLIANO ALPI - CN -|LANGHE|VIA|91|MAGLIANO ALPI|12060|MAGLIANO ALPI|004114|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|86.0|ALTRI EDIFICI SCOLASTICI|COMUNE DI MAGLIANO ALPI - CN -|NORMALE|MESSA A NORMA IMPIANTO ELETTRICO, REALIZZAZIONE IMPIANTO ANTINCENDIO EDIFICIO SCOLASTICO|MESSA A NORMA E IN SICUREZZA EDIFICIO SCOLASTICO|VIA LANGHE 111/D|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||0.0|ASSENTE|4.0|COMUNALE|PREVISTE SPONSORIZZAZIONI PARZIALI||29-JUN-15|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=101409
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|2.0|10.105,00|7.270,00|6.835,00|Esiste|Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Magliano Alpi|Amministrazione comunale|2017-11-28|2016-07-04|2016-09-04|COMUNE di Magliano Alpi|COMUNE||||44.465676|7.822911|Adeguamento impiantistica e/o antincendio|Concluso|I24H15000420002|68000.0|14211.63|MESSA A NORMA E IN SICUREZZA EDIFICIO SCOLASTICO*VIA LANGHE 111/D*MESSA A NORMA IMPIANTO ELETTRICO, REALIZZAZIONE IMPIANTO ANTINCENDIO EDIFICIO SCOLASTICO|2015|ATTIVO|68000|32000|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4114.0|00454320045|COMUNE DI MAGLIANO ALPI - CN -|LANGHE|VIA|91|MAGLIANO ALPI|12060|MAGLIANO ALPI|4114|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|86.0|ALTRI EDIFICI SCOLASTICI|COMUNE DI MAGLIANO ALPI - CN -|NORMALE|MESSA A NORMA IMPIANTO ELETTRICO, REALIZZAZIONE IMPIANTO ANTINCENDIO EDIFICIO SCOLASTICO|MESSA A NORMA E IN SICUREZZA EDIFICIO SCOLASTICO|VIA LANGHE 111/D|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||00|ASSENTE|007|PRIVATA|PREVISTE SPONSORIZZAZIONI PARZIALI||29-JUN-15|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=101409
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140002|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|2002|Informazione assente|-|Informazione assente|1.0|10.105,00|7.410,00|5.681,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80700N|CNEE80701Q|BENE VAGIENNA-CAPOLUOGO|BENE VAGIENNA|SCUOLA PRIMARIA|VIALE RIMEMBRANZA 2|CUNEO|PIEMONTE|0040190002|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|10.040,00|8.115,00|7.198,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|SI|SI|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80700N|CNEE80701Q|BENE VAGIENNA-CAPOLUOGO|BENE VAGIENNA|SCUOLA PRIMARIA|VIALE RIMEMBRANZA 2|CUNEO|PIEMONTE|0040190005|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|NO|SI|-|dal 1976 in poi|-|Dal 1976 in poi|4.0|-|-|6.000,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|SI|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
